protein,cytoplasm,extracellular,mitochondrion,thylakoidPlastid,endoplasmicReticulum,lysosomeVacuole,peroxisome,chloroplast
KAI7835279.1,1,0.278624150136627,0.248042805832101,0.169519110186992,0.382167168535484,0.284635304264553,0.265901169458561,0.138383045028426
KAI7835308.1,1,0.260889356280818,0.247440238257863,0.142098420195211,0.342443395217249,0.271609308577274,0.243130107841743,0.131980073261085
KAI7835327.1,1,0.803127054591585,0.725045818604333,0.366369125686402,0.821117768380843,0.835748301228098,0.464908168659314,0.360541216878708
KAI7835328.1,1,0.227273121085804,0.186718563704059,0.250931889978236,0.270230242834889,0.241817849312633,0.228316785136699,0.401357698025693
KAI7835341.1,1,0.424323728640071,0.38049993575945,0.240957189927221,0.386996481134067,0.322943014575811,0.30370424789806,0.161026416381958
KAI7835342.1,0.470606790665941,0.362352638267042,0.418062801275287,0.188128227840116,1,0.573919668159781,0.365537603998722,0.177893626049085
KAI7835358.1,0.361160307756394,1,0.245115213104888,0.0998890944924115,0.647485528614974,0.347967686493186,0.187522308139516,0.0749491139575615
KAI7835365.1,1,0.198941886675391,0.135753138188082,0.117460154150684,0.16221743261447,0.167061123479634,0.200933955772589,0.0688627357512195
KAI7835366.1,1,0.250301579393445,0.261319441459042,0.140135913421458,0.311347146282574,0.313098665407335,0.261470906903843,0.133561771203563
KAI7835371.1,1,0.277530368413021,0.40448966629508,0.18919364320014,0.312631317133815,0.36709149372356,0.363265434507676,0.153391332146606
KAI7835372.1,1,0.151518663577068,0.132509037289455,0.126745798839949,0.157583426661636,0.166341303309504,0.282464075890584,0.0535429356901384
KAI7835373.1,1,0.290981936186003,0.539515774773675,0.193406296582318,0.283876888373516,0.28682740451232,0.293995853016619,0.217473852519195
KAI7835374.1,1,0.295629525961668,0.246740470022681,0.159059029635951,0.299654865090599,0.301366948902386,0.282231297432102,0.141471873637524
KAI7835388.1,0.244987036865173,0.198403720189811,0.771605807294619,0.0825043030295669,1,0.33703193824026,0.204455446286677,0.0777328773321922
KAI7835395.1,0.0209602391861268,0.0136394327148147,1,0.00604496712628051,0.00991019673332618,0.0087845915599325,0.00706117432129937,0.000232352686435259
KAI7835402.1,1,0.129004169228688,0.143488604559224,0.0660593695139479,0.151140932830431,0.130271046088001,0.113879402428852,0.0451175982544868
KAI7835403.1,1,0.127342568250822,0.140393328906951,0.0656487171579844,0.150748455892077,0.130973219620996,0.115129045304623,0.0450237069415277
KAI7835414.1,1,0.245151877283179,0.185664252684257,0.126861788901575,0.2436560441352,0.295993824252861,0.223493214603232,0.122148473782121
KAI7835418.1,1,0.181355767153348,0.107499425693307,0.07209625625805,0.222080358720433,0.165881157594673,0.243885360303641,0.0692259253327461
KAI7835424.1,0.284315287857998,0.215162232451754,0.285312206849312,0.122924349754518,1,0.436569296787922,0.215894485546772,0.763730139390148
KAI7835429.1,0.645813832962804,0.292920098237863,1,0.0881638085643236,0.351846930019045,0.341999506929794,0.137902868175097,0.0761442377601601
KAI7835430.1,0.481886125902976,0.293496633286668,1,0.0892564152464071,0.52069906951637,0.341489463826437,0.137673837455314,0.0763001809246205
KAI7835432.1,1,0.562543377925256,0.27468148190462,0.180182229842094,0.363910578466759,0.297382805559389,0.284769025253992,0.155974050699746
KAI7835447.1,1,0.355365273445372,0.685610805275633,0.189161666675899,0.409049392244962,0.451980728332928,0.353819230523633,0.185593743376855
KAI7835449.1,1,0.491603792529788,0.273795811755686,0.184960875806305,0.480337033881847,0.421842083799062,0.308281098705134,0.166362487924519
KAI7835457.1,0.378521850589919,0.295489105627969,0.211285495684715,0.17389127703351,0.567122847700075,1,0.291901214092533,0.153590740945443
KAI7835465.1,1,0.273502528396954,0.274448351283246,0.163718197587894,0.296108210626346,0.315293161902776,0.377238631939585,0.142122129152383
KAI7835473.1,1,0.262555059268168,0.180404200792542,0.180496275145606,0.307237478490219,0.298693706578064,0.345431013330581,0.135517296640744
KAI7835482.1,1,0.333490322844193,0.288167020996427,0.162351414014405,0.329361612673775,0.288381119874742,0.363089487697621,0.145543813074316
KAI7835483.1,0.687460946021262,0.513092704949651,0.765282781283528,0.367247140203966,0.64621282833922,0.482097673141293,1,0.235596352509007
KAI7835491.1,1,0.426269062936318,0.257622449589219,0.223134387367219,0.518556974577306,0.635106962828052,0.351193234207463,0.179762210097786
KAI7835500.1,1,0.240459341997025,0.702905028495991,0.11623072501639,0.251171708891205,0.273421041138102,0.214532231154371,0.0972298674487334
KAI7835503.1,0.0558918925135745,0.0252422042932727,1,0.076371069434275,0.0113003874762885,0.0146664807537303,0.0127955257758575,0.448697267582541
KAI7835508.1,0.355745547923104,1,0.340833700830425,0.120587511027233,0.385278526610134,0.687346376857379,0.154310444206543,0.13393141263224
KAI7835509.1,0.341059913631755,0.276436058376658,0.219720628830641,0.140793242634442,1,0.253483018601439,0.23651003005076,0.129980213403087
KAI7835527.1,1,0.18066067660769,0.191724063204438,0.084669267378755,0.17936449052548,0.225068541186733,0.180785964157059,0.0709441412121842
KAI7835529.1,0.0760105711228575,0.024017334865565,0.991076684590272,0.0673451349251929,0.031702133526513,0.0291130717608674,0.0163549800666733,1
KAI7835530.1,1,0.248884466796033,0.229769957451585,0.163958871007039,0.293632068599954,0.262388946506582,0.298901065551809,0.131449230311211
KAI7835532.1,0.187510334087982,0.0987214822820204,0.66890207712361,0.843669230694539,0.0830022859233493,0.0895707200141377,0.0927701040142439,1
KAI7835537.1,0.0685500890492462,0.0404696695428929,1,0.0406925849898262,0.0810234315823446,0.0868420738840316,0.0462362198484399,0.0350736863226756
KAI7835539.1,1,0.255668472487459,0.232882254740405,0.123608833283291,0.205665445074053,0.190326406552996,0.30775637709908,0.111223904682209
KAI7835540.1,1,0.341003204087727,0.261719931267507,0.173386866457007,0.367969966769848,0.416999642853844,0.289026190958652,0.150008095279682
KAI7835543.1,0.0484951206746718,0.0173420020357871,0.0525347748710576,1,0.0120554864874419,0.0156136196335507,0.0129004540204246,0.743119071432636
KAI7835549.1,0.773670080087885,0.849972078502835,0.301488245137336,0.267109323467806,1,0.612796348951884,0.410864228820466,0.221889489735169
KAI7835555.1,0.0587767250613564,0.0196834135285054,0.820258508949019,0.654921184948546,0.00927308002814571,0.0145584732845541,0.00862049799172557,1
