rxn,comp
CDS_h,ch
CDS_r2,ch
CrDELTA4_FAD_1,ch
CrDELTA4_FAD_2,ch
CrDELTA4_FAD_3,ch
CrDELTA4_FAD_4,ch
CrDES_r1,en
CrDES_r2,en
DGDGS_h10,ch
DGDGS_h11,ch
DGDGS_h15,ch
DGDGS_h7,ch
DGDGS_h8,ch
DGDGS_h9,ch
EPT_r11,en
EPT_r8,en
Ex_1,ex
Ex_10,ex
Ex_11,ex
Ex_12,ex
Ex_13,ex
Ex_14,ex
Ex_15,ex
Ex_16,ex
Ex_17,ex
Ex_18,ex
Ex_19,ex
Ex_2,ex
Ex_20,ex
Ex_21,ex
Ex_22,ex
Ex_23,ex
Ex_24,ex
Ex_25,ex
Ex_26,ex
Ex_27,ex
Ex_28,ex
Ex_29,ex
Ex_3,ex
Ex_30,ex
Ex_31,ex
Ex_32,ex
Ex_33,ex
Ex_34,ex
Ex_35,ex
Ex_36,ex
Ex_37,ex
Ex_38,ex
Ex_39,ex
Ex_4,ex
Ex_5,ex
Ex_6,ex
Ex_7,ex
Ex_8,ex
Ex_9,ex
Ex_Starch,ex
EXC_BOTH_AMMONIUM,ex
EXC_BOTH_C00205,ex
EXC_BOTH_CARBON-DIOXIDE,ex
EXC_BOTH_FE+2,ex
EXC_BOTH_MG+2,ex
EXC_BOTH_OXYGEN-MOLECULE,ex
EXC_BOTH_Pi,ex
EXC_BOTH_PROTON,ex
EXC_BOTH_SULFATE,ex
EXC_BOTH_WATER,ex
FAD2_r1,en
FAD2_r2,en
FAD4,ch
FAD6_h11,ch
FAD6_h12,ch
FAD6_h13,ch
FAD6_h15,ch
FAD7_h10,ch
FAD7_h12,ch
FAD7_h13,ch
FAD7_h14,ch
FAD7_h15,ch
FAD7_h17,ch
FAD7_h18,ch
FAD7_h19,en
FAD7_h20,en
FAD7_h7,ch
FAD7_h9,ch
GPAT_h2,ch
GPAT_h3,ch
GPAT_r2,en
GPAT_r3,ch
GPAT_r4,en
LPAT_h1,ch
LPAT_h2,ch
LPAT_h3,ch
LPAT_r10,en
LPAT_r11,ch
LPAT_r6,en
MGDGS_h2,ch
MGDGS_h3,ch
PAP_h1,ch
PAP_h2,ch
PAP_h3,ch
PAP_r6,en
PAP_r8,en
PGPP_h,ch
PGPS_h,ch
PIS_r2,ch
R02111,ch
R02112,ch
RXN-14912,ch
RXN-1728_FAD5_h3,ch
RXN-7710,ch
RXN-8294,ch
RXN-8296_FAD6_h3,ch
RXN-8297_FAD7_h8,ch
RXN-8298_FAD6_h6,ch
RXN-8299_FAD7_h4,ch
RXN-8300,ch
RXN-8301_FAD7_h6,ch
RXN-8302_FAD6_h4,ch
RXN-8303,ch
RXN-8304,ch
RXN-8305_FAD6_h5,ch
RXN-8306_FAD7_h3,ch
RXN-8307,ch
RXN-8308,ch
RXN-8309_FAD7_h5,ch
RXN-8316_FAD6,ch
RXN-8317_FAD7_h16,ch
RXN-8363_FAD6_h10,ch
RXN-8364_FAD7_h11,ch
SLIMEr_1,cy
SLIMEr_10,cy
SLIMEr_11,cy
SLIMEr_12,cy
SLIMEr_13,cy
SLIMEr_14,cy
SLIMEr_15,cy
SLIMEr_16,cy
SLIMEr_17,cy
SLIMEr_18,cy
SLIMEr_19,cy
SLIMEr_2,cy
SLIMEr_20,cy
SLIMEr_21,cy
SLIMEr_22,cy
SLIMEr_23,cy
SLIMEr_24,cy
SLIMEr_25,cy
SLIMEr_26,cy
SLIMEr_27,cy
SLIMEr_28,cy
SLIMEr_29,cy
SLIMEr_3,cy
SLIMEr_30,cy
SLIMEr_31,cy
SLIMEr_32,cy
SLIMEr_33,cy
SLIMEr_34,cy
SLIMEr_35,cy
SLIMEr_36,cy
SLIMEr_37,cy
SLIMEr_38,cy
SLIMEr_39,cy
SLIMEr_4,cy
SLIMEr_40,cy
SLIMEr_41,cy
SLIMEr_42,cy
SLIMEr_43,cy
SLIMEr_44,cy
SLIMEr_45,cy
SLIMEr_46,cy
SLIMEr_47,cy
SLIMEr_48,cy
SLIMEr_49,cy
SLIMEr_5,cy
SLIMEr_50,cy
SLIMEr_51,cy
SLIMEr_52,cy
SLIMEr_53,cy
SLIMEr_54,cy
SLIMEr_55,cy
SLIMEr_56,cy
SLIMEr_57,cy
SLIMEr_58,cy
SLIMEr_59,cy
SLIMEr_6,cy
SLIMEr_60,cy
SLIMEr_61,cy
SLIMEr_62,cy
SLIMEr_63,cy
SLIMEr_64,cy
SLIMEr_65,cy
SLIMEr_66,cy
SLIMEr_67,cy
SLIMEr_68,cy
SLIMEr_69,cy
SLIMEr_7,cy
SLIMEr_70,cy
SLIMEr_71,cy
