gene,rxns,"meanFlux(auto_3k, auto_100)",p-values
KAI7842572.1,{'GLUC1PURIDYLTRANS-RXN'},"[(0.3655998204725902, 0.305364505163528)]",[0.0]
KAI7840794.1,{'CYTOCHROME-B5-REDUCTASE-RXN'},"[(0.4655043637766187, 0.3946595684833391)]",[0.0]
KAI7841727.1,{'2.7.7.60-RXN'},"[(24.20268551349298, 7.953441266194817)]",[0.0]
KAI7839640.1,{'PYRUFLAVREDUCT-RXN'},"[(48.40537102698596, 16.767957954534673)]",[0.0]
KAI7835543.1,{'TRYPSYN-RXN'},"[(0.0662353079998042, 0.03980254828584421)]",[0.0]
KAI7839014.1,{'PRIBFAICARPISOM-RXN'},"[(0.09511558307148828, 0.05715747068623148)]",[0.0]
KAI7840167.1,{'PSII-RXN'},"[(7.9894499709229, 3.0796286909067425)]",[0.0]
KAI7845814.1,{'PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN'},"[(48.375678110623916, 35.94564651314488)]",[0.0]
KAI7836992.1,{'RXN-1223'},"[(0.08463715705027541, 0.07175628517878087)]",[0.0]
KAI7841109.1,{'IMIDPHOSDEHYD-RXN'},"[(0.09511558307148828, 0.05715747068623148)]",[0.0]
KAI7838596.1,{'PSII-RXN'},"[(7.9894499709229, 3.0796286909067425)]",[0.0]
KAI7839395.1,{'PSII-RXN'},"[(7.9894499709229, 3.0796286909067425)]",[0.0]
KAI7845833.1,{'R01388'},"[(11.226834535028068, 5.892492245909646)]",[0.0]
KAI7844093.1,{'PSII-RXN'},"[(7.9894499709229, 3.0796286909067425)]",[0.0]
KAI7838142.1,{'DIHYDRODIPICSYN-RXN'},"[(0.1470413794672753, 0.08836105537396864)]",[0.0]
KAI7838019.1,{'GLYC3PDEHYDROGBIOSYN-RXN'},"[(0.0662353079998042, 0.03980254828584421)]",[0.0]
KAI7836740.1,{'SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN'},"[(11.475549607441652, 8.076127079858137)]",[0.0]
KAI7845862.1,{'2.4.1.123-RXN'},"[(0.011354310565669348, 0.006364896653766537)]",[0.0]
KAI7844047.1,"{'DIHYDROXYISOVALDEHYDRAT-RXN', 'DIHYDROXYMETVALDEHYDRAT-RXN'}","[(0.7570000244688613, 0.454901358434155), (0.11805122912805052, 0.07094011117571226)]","[0.0, 0.0]"
KAI7837955.1,{'3PGAREARR-RXN'},"[(45.4620011823824, 23.799128946116042)]",[0.0]
KAI7845549.1,{'DXS-RXN'},"[(24.20268551349298, 7.953441266194817)]",[0.0]
KAI7842857.1,{'3PGAREARR-RXN'},"[(45.4620011823824, 23.799128946116042)]",[0.0]
KAI7837806.1,{'RXN0-302'},"[(24.20268551349298, 7.953441266194817)]",[0.0]
KAI7842376.1,{'SHIKIMATE-KINASE-RXN'},"[(0.27888273406787933, 0.16758801478108198)]",[0.0]
KAI7844483.1,"{'dRXN_TRIOSEPISOMERIZATION-RXN_CHLOROPLAST', 'dRXN_TRIOSEPISOMERIZATION-RXN_CYTOPLASM'}","[(0.600554537165335, 0.4192345232491331), (16.16268648856233, 10.791836127155502)]","[0.0, 0.0]"
KAI7844650.1,{'DIAMINOPIMDECARB-RXN'},"[(0.1470413794672753, 0.08836105537396864)]",[0.0]
KAI7836688.1,{'MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN'},"[(0.04231857852513771, 0.035878142589390434)]",[0.0]
KAI7845585.1,{'PSII-RXN'},"[(7.9894499709229, 3.0796286909067425)]",[0.0]
KAI7845667.1,{'PSII-RXN'},"[(7.9894499709229, 3.0796286909067425)]",[0.0]
KAI7836323.1,{'ACETOLACTSYN-RXN'},"[(0.757000024469035, 0.4549013584341619)]",[0.0]
KAI7841017.1,{'PSII-RXN'},"[(7.9894499709229, 3.0796286909067425)]",[0.0]
KAI7840059.1,{'NADPYROPHOSPHAT-RXN'},"[(4.727598346698463, 1.5212031385479705)]",[0.0]
KAI7840168.1,{'PSII-RXN'},"[(7.9894499709229, 3.0796286909067425)]",[0.0]
KAI7844436.1,{'SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN'},"[(11.475549607441652, 8.076127079858137)]",[0.0]
KAI7842723.1,{'GPPSYN-RXN'},"[(6.050671378376101, 1.9883603165488084)]",[0.0]
KAI7840722.1,{'GLUTAMIDOTRANS-RXN'},"[(0.09511558307148828, 0.05715747068623148)]",[0.0]
KAI7841103.1,{'PHOSGLYPHOS-RXN'},"[(46.07727824593721, 24.02698500143174)]",[0.0]
KAI7841119.1,{'ABC-12-RXN'},"[(18.455833729872506, 9.373124880877732)]",[0.0]
KAI7835897.1,{'PSII-RXN'},"[(7.9894499709229, 3.0796286909067425)]",[0.0]
KAI7838151.1,{'PSII-RXN'},"[(7.9894499709229, 3.0796286909067425)]",[0.0]
KAI7844649.1,{'DIAMINOPIMDECARB-RXN'},"[(0.1470413794672753, 0.08836105537396864)]",[0.0]
KAI7836415.1,{'UDPGLUCEPIM-RXN'},"[(0.26526578171623433, 0.22163375219011955)]",[0.0]
KAI7836009.1,{'MALONYL-COA-DECARBOXYLASE-RXN'},"[(47.35663306099329, 18.608610983428946)]",[0.0]
KAI7842257.1,"{'HISTCYCLOHYD-RXN', 'HISTPRATPHYD-RXN'}","[(0.09511558307148828, 0.05715747068623148), (0.09511558307148828, 0.05715747068623148)]","[0.0, 0.0]"
KAI7836348.1,{'CHORISMATE-SYNTHASE-RXN'},"[(0.27888273406787933, 0.16758801478108198)]",[0.0]
KAI7837861.1,"{'PRAISOM-RXN', 'IGPSYN-RXN'}","[(0.0662353079998042, 0.03980254828584421), (0.0662353079998042, 0.03980254828584421)]","[0.0, 0.0]"
KAI7837786.1,"{'dRXN_TRIOSEPISOMERIZATION-RXN_CHLOROPLAST', 'dRXN_TRIOSEPISOMERIZATION-RXN_MITOCHONDRION'}","[(0.600554537165335, 0.4192345232491331), (0.0662353079998042, 0.03980254828584421)]","[0.0, 0.0]"
KAI7839998.1,{'dRXN_CHORISMATEMUT-RXN_CYTOPLASM'},"[(0.08929543139639166, 0.05365998712355725)]",[0.0]
KAI7841699.1,{'ORNCARBAMTRANSFER-RXN'},"[(0.2930985179510289, 0.17613065935709657)]",[0.0]
KAI7845040.1,{'GLUTKIN-RXN'},"[(0.2930985179510289, 0.17613065935709657)]",[0.0]
KAI7844906.1,{'3-DEHYDROQUINATE-SYNTHASE-RXN'},"[(0.27888273406787933, 0.16758801478108198)]",[0.0]
KAI7843316.1,{'RXN-14014'},"[(0.1470413794672753, 0.08836105537396864)]",[0.0]
KAI7844041.1,{'PSII-RXN'},"[(7.9894499709229, 3.0796286909067425)]",[0.0]
KAI7839611.1,{'2.5.1.19-RXN'},"[(0.27888273406787933, 0.16758801478108198)]",[0.0]
KAI7845826.1,"{'GLUTAMATE-SYNTHASE-NADH-RXN', 'GLUTAMATESYN-RXN'}","[(4.222407892488553, 1.8883155646002578), (4.186942256254784, 1.8798463065219027)]","[0.0, 0.0]"
KAI7845109.1,{'GLUC1PURIDYLTRANS-RXN'},"[(0.3655998204725902, 0.305364505163528)]",[0.0]
KAI7845845.1,{'PSII-RXN'},"[(7.9894499709229, 3.0796286909067425)]",[0.0]
KAI7836674.1,{'PRPPSYN-RXN'},"[(0.4537519069152443, 0.4311297498256557)]",[0.0]
KAI7843240.1,{'2.7.1.148-RXN'},"[(24.20268551349298, 7.953441266194817)]",[0.0]
KAI7845924.1,{'PSII-RXN'},"[(7.9894499709229, 3.0796286909067425)]",[0.0]
KAI7845791.1,{'PSII-RXN'},"[(7.9894499709229, 3.0796286909067425)]",[0.0]
