iCO1515Gene,iCre1355Gene,adjusted-p-value,CorrelationWithGrowth
KAI7837343.1,Cre17.g734548.t1.1,0.0,1.0
KAI7839328.1,Cre08.g370650.t1.2,0.0,1.0
KAI7840656.1,Cre12.g554850.t1.2,0.0,0.0
KAI7839093.1,Cre02.g106500.t1.2,0.0,1.0
KAI7843062.1,Cre13.g590300.t1.1,0.0,1.0
KAI7842975.1,Cre05.g245550.t1.1,0.0,0.0
KAI7836415.1,Cre17.g734100.t1.2,0.0,1.0
KAI7838596.1,Cre11.g467723.t2.1,0.0,1.0
KAI7840796.1,Cre03.g186200.t1.2,0.0,1.0
KAI7841046.1,Cre03.g186200.t1.2,0.0,0.0
KAI7835424.1,Cre13.g574800.t2.1,0.0,1.0
KAI7835734.1,Cre03.g149100.t1.2,0.0,0.0
KAI7842975.1,Cre04.g215050.t1.2,0.0,0.0
KAI7845264.1,Cre02.g141786.t1.1,0.0,0.0
KAI7843038.1,Cre12.g535750.t1.1,0.0,0.0
KAI7840433.1,Cre03.g149100.t1.2,0.0,0.0
KAI7841119.1,Cre13.g607100.t1.2,0.0,1.0
KAI7836863.1,Cre12.g554850.t1.2,0.0,0.0
KAI7837710.1,Cre02.g141786.t1.1,0.0,0.0
KAI7843063.1,Cre13.g590300.t1.1,0.0,1.0
KAI7839287.1,Cre10.g433000.t1.1,0.0,0.0
KAI7842249.1,Cre12.g554850.t1.2,0.0,0.0
KAI7844732.1,Cre02.g103850.t1.2,0.0,1.0
KAI7838033.1,Cre04.g215050.t1.2,0.0,1.0
KAI7841816.1,Cre13.g607100.t1.2,0.0,0.0
KAI7845826.1,Cre17.g715900.t1.2,0.0,1.0
KAI7840432.1,Cre03.g149100.t1.2,0.0,0.0
KAI7841816.1,Cre05.g234638.t1.1,0.0,0.0
KAI7839287.1,Cre09.g414250.t1.1,0.0,0.0
KAI7839092.1,Cre02.g106500.t1.2,0.0,1.0
KAI7841585.1,Cre02.g103850.t1.2,0.0,1.0
KAI7845921.1,Cre13.g607100.t1.2,0.0,0.0
KAI7838596.1,Cre11.g467700.t1.1,0.0,1.0
KAI7838609.1,Cre03.g186200.t1.2,0.0,0.0
KAI7845791.1,Cre13.g585850.t1.2,0.0,1.0
KAI7845195.1,Cre08.g373550.t1.2,0.0,1.0
KAI7839906.1,Cre17.g715900.t1.2,0.0,0.0
KAI7840387.1,Cre03.g203600.t1.2,0.0,1.0
KAI7843060.1,Cre02.g103850.t1.2,0.0,1.0
KAI7842525.1,Cre07.g325500.t1.1,0.0,0.0
KAI7842067.1,Cre08.g372950.t1.2,0.0,1.0
KAI7845690.1,Cre04.g215050.t1.2,0.0,0.0
KAI7841584.1,Cre04.g214150.t1.1,0.0,0.0
KAI7838597.1,Cre11.g467723.t2.1,0.0,1.0
KAI7846480.1,Cre02.g106500.t1.2,0.0,1.0
KAI7845742.1,Cre12.g506600.t1.2,0.0,1.0
KAI7841206.1,Cre03.g186200.t1.2,0.0,1.0
KAI7835503.1,Cre12.g554850.t1.2,0.0,0.0
KAI7845228.1,Cre02.g141786.t1.1,0.0,0.0
KAI7836927.1,Cre08.g373550.t1.2,0.0,1.0
KAI7838597.1,Cre11.g467700.t1.1,0.0,1.0
KAI7841105.1,Cre12.g554850.t1.2,0.0,0.0
KAI7841158.1,Cre12.g554850.t1.2,0.0,0.0
KAI7840431.1,Cre03.g149100.t1.2,0.0,0.0
KAI7835388.1,Cre13.g574800.t2.1,0.0,0.0
KAI7842066.1,Cre08.g372950.t1.2,0.0,1.0
KAI7836254.1,Cre08.g373550.t1.2,0.0,1.0
KAI7838596.1,Cre06.g308500.t1.2,0.0,1.0
KAI7841584.1,Cre12.g535750.t1.1,0.0,0.0
KAI7840079.1,Cre12.g539900.t1.1,0.0,0.0
KAI7840811.1,Cre08.g376100.t1.2,0.0,1.0
KAI7835388.1,Cre13.g574800.t1.2,0.0,0.0
KAI7845401.1,Cre02.g141786.t1.1,0.0,0.0
KAI7840058.1,Cre02.g141786.t1.1,0.0,0.0
KAI7844663.1,Cre08.g376100.t1.2,0.0,1.0
KAI7843773.1,Cre04.g215150.t1.2,0.0,1.0
KAI7838934.1,Cre13.g590300.t1.1,0.0,1.0
KAI7840079.1,Cre12.g554850.t1.2,0.0,0.0
KAI7845346.1,Cre12.g509400.t1.2,0.0,1.0
KAI7835424.1,Cre13.g574800.t1.2,0.0,1.0
KAI7838933.1,Cre13.g590300.t1.1,0.0,1.0
