metName	biomass_auto_100	biomass_auto_3k	biomass_mixo	biomass_hetero
dATP	0.00729136	0.0020036	0.00213416	0.00176258
dCTP	0.01291844	0.00354987	0.00378119	0.00312283
dGTP	0.01288612	0.00354099	0.00377173	0.00311502
dTTP	0.00729944	0.00200582	0.00213653	0.00176453
ATP	0.04037537	0.03187742	0.04693273	0.03876112
CTP	0.07153486	0.05647866	0.08315285	0.06867483
GTP	0.07135592	0.05633737	0.08294483	0.06850304
UTP	0.04042011	0.03191274	0.04698474	0.03880407
L-alanine	0.38165135	0.53844871	0.18361956	0.30328818
L-arginine	0.15593088	0.21999341	0.07502125	0.12391413
L-asparagine	0.05093421	0.07185998	0.02450539	0.04047606
L-aspartate	0.11078679	0.15630235	0.05330158	0.08803932
L-cysteine	0.0417064	0.05884103	0.02006573	0.03314297
L-glutamate	0.14578663	0.20568151	0.07014066	0.11585276
L-glutamine	0.1398044	0.19724154	0.0672625	0.11109884
glycine	0.21424202	0.30226105	0.10307582	0.17025244
L-histidine	0.05060229	0.0713917	0.0243457	0.0402123
L-isoleucine	0.06280425	0.0886067	0.03021629	0.04990887
L-leucine	0.24945483	0.35194067	0.12001736	0.19823512
L-lysine	0.07822725	0.11036608	0.03763659	0.06216512
L-methionine	0.04719976	0.06659127	0.02270868	0.03750839
L-phenylalanine	0.0656243	0.09258534	0.03157307	0.05214989
L-proline	0.15434652	0.21775813	0.07425898	0.12265508
L-serine	0.1633164	0.23041318	0.07857455	0.1297832
L-threonine	0.10795897	0.15231276	0.05194107	0.08579213
L-tryptophan	0.03523774	0.04971479	0.01695353	0.0280025
L-tyrosine	0.04750592	0.06702322	0.02285598	0.03775169
L-valine	0.15327556	0.21624718	0.07374372	0.12180402
Starch	1.68087938	1.36934881	0.01985797	0
D-Galactose	0.00563493	0.0085223	2.15997025	1.62287148
D-Glucose	0.00071377	0.00145728	0	0
D-Mannose	0.00014589	0.00046671	1.01758598	0.76455278
sucrose	0.00988739	0.01032446	0	0
chlorophyll a	0.04179773	0.02065422	0.00771602	0
chlorophyll b	0.01939942	0.0045615	0.01410878	0
acetate	0.05707299	0.05707299	0.03710807	0.06234648
alpha-carotene	0.0007764	0.0007764	0.00000396	0
antheraxanthin	0.00015528	0.00015528	0.00000079	0
beta-carotene	0.00217393	0.00217393	0.00001109	0
lutein	0.00194101	0.00194101	0.0000099	0
9'-cis-neoxanthin	0.00085404	0.00085404	0.00000436	0
violaxanthin	0.00054348	0.00054348	0.00000277	0
zeaxanthin	0.00046584	0.00046584	0.00000238	0
Lipid	0.03176341	0.03176341	0.02101293	0.03469832
