# TargetP-2.0	Organism: Plant	Timestamp: 20231212165150
# ID	Prediction	OTHER	SP	mTP	cTP	lTP	CS Position
KAI7835279.1	OTHER	0.997994	0.001878	0.000088	0.000035	0.000005	
KAI7835308.1	OTHER	0.999278	0.000683	0.000035	0.000001	0.000002	
KAI7835319.1	OTHER	0.848780	0.000273	0.000233	0.150264	0.000450	
KAI7835327.1	SP	0.000077	0.999872	0.000041	0.000011	0.000000	CS pos: 26-27. AAA-AQ. Pr: 0.4899
KAI7835328.1	OTHER	0.993414	0.000177	0.006392	0.000013	0.000005	
KAI7835341.1	OTHER	0.998829	0.000292	0.000863	0.000006	0.000011	
KAI7835342.1	OTHER	0.992050	0.003988	0.003839	0.000096	0.000027	
KAI7835358.1	SP	0.001261	0.998383	0.000355	0.000000	0.000001	CS pos: 20-21. AAA-WD. Pr: 0.7216
KAI7835365.1	OTHER	0.999946	0.000053	0.000001	0.000000	0.000000	
KAI7835366.1	OTHER	0.999520	0.000480	0.000000	0.000000	0.000000	
KAI7835371.1	OTHER	0.998892	0.001073	0.000015	0.000019	0.000001	
KAI7835372.1	OTHER	0.999248	0.000749	0.000001	0.000001	0.000000	
KAI7835373.1	OTHER	0.746689	0.016676	0.137552	0.098409	0.000674	
KAI7835374.1	OTHER	0.916991	0.071005	0.000682	0.008799	0.002522	
KAI7835388.1	OTHER	0.999348	0.000142	0.000395	0.000111	0.000004	
KAI7835392.1	OTHER	0.992111	0.000938	0.006933	0.000018	0.000001	
KAI7835395.1	mTP	0.005433	0.000193	0.994116	0.000232	0.000026	CS pos: 23-24. RGF-AA. Pr: 0.7914
KAI7835402.1	OTHER	0.923127	0.003226	0.024037	0.001803	0.047806	
KAI7835403.1	OTHER	0.923127	0.003226	0.024037	0.001803	0.047806	
KAI7835414.1	OTHER	0.999864	0.000129	0.000007	0.000000	0.000000	
KAI7835418.1	OTHER	0.999112	0.000805	0.000079	0.000002	0.000000	
KAI7835424.1	OTHER	0.890802	0.058790	0.000217	0.049737	0.000454	
KAI7835426.1	OTHER	0.939376	0.005725	0.051195	0.001859	0.001845	
KAI7835429.1	SP	0.000188	0.999613	0.000198	0.000001	0.000000	CS pos: 26-27. ATA-QS. Pr: 0.4540
KAI7835430.1	SP	0.000188	0.999613	0.000198	0.000001	0.000000	CS pos: 26-27. ATA-QS. Pr: 0.4540
KAI7835432.1	OTHER	0.999113	0.000828	0.000054	0.000003	0.000002	
KAI7835447.1	OTHER	0.897336	0.011945	0.084319	0.005531	0.000869	
KAI7835449.1	OTHER	0.999506	0.000457	0.000028	0.000005	0.000004	
KAI7835457.1	OTHER	0.999995	0.000002	0.000001	0.000001	0.000001	
KAI7835465.1	OTHER	0.999146	0.000214	0.000626	0.000001	0.000013	
KAI7835473.1	OTHER	0.994378	0.005617	0.000004	0.000001	0.000001	
KAI7835482.1	OTHER	0.991942	0.005139	0.002870	0.000042	0.000007	
