Accession,GOids,GOterms,Score,Signal Peptide,Mitochondrion Transit Peptide,Chloroplast Transit Peptide,Transmembrane Alpha Helix,Transmembrane Beta Strand,GPI-anchor
KAI7841488.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841493.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7841497.1,GO:0005886,C:plasma membrane,0.95,,,,27-44,,
KAI7841498.1,GO:0005886,C:plasma membrane,0.88,1-19,,,268-294;558-569;602-616,,
KAI7841499.1,GO:0009707,C:chloroplast outer membrane,0.76,,,1-47,174-189,,
KAI7841501.1,GO:0005615,C:extracellular space,1.0,,,,,,
KAI7841502.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7841510.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841512.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841522.1,GO:0005739,C:mitochondrion,0.9,,1-46,,,,
KAI7841530.1,GO:0012505,C:endomembrane system,0.81,,,,135-151;163-188;204-230;232-254;263-289;302-326;341-364;374-398;407-429;435-460,,
KAI7841534.1,GO:0031966,C:mitochondrial membrane,0.9,,1-62,,185-206;227-243;249-272;306-329;340-363;376-400;434-461;482-500;509-533;565-588;625-641;643-665,,
KAI7841541.1,GO:0005615,C:extracellular space,0.52,,,,,,
KAI7841548.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841551.1,GO:0005615,C:extracellular space,0.53,,,,,,
KAI7841576.1,GO:0031090,C:organelle membrane,0.63,,,,19-39;489-516,,
KAI7841579.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841580.1,GO:0046658,C:anchored component of plasma membrane,0.55,1-26,,,,,686-686
KAI7841584.1,GO:0005737,C:cytoplasm,0.5,,,,,,
KAI7841585.1,GO:0005739,C:mitochondrion,0.6,,1-41,,,,
KAI7841591.1,GO:0005886,C:plasma membrane,0.52,,,,26-59;80-92,,
KAI7841593.1,GO:0031090,C:organelle membrane,0.75,,,,71-93;454-465,,
KAI7841607.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7841620.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841622.1,GO:0012505,C:endomembrane system,0.73,,,,770-781,,
KAI7841623.1,GO:0005739,C:mitochondrion,0.96,,1-44,,,,
KAI7841624.1,GO:0005739,C:mitochondrion,0.82,,1-25,,,,
KAI7841628.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841633.1,GO:0005615,C:extracellular space,1.0,1-22,,,,,
KAI7841634.1,GO:0005739,C:mitochondrion,0.9,,1-43,,,,
KAI7841639.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841660.1,GO:0012505,C:endomembrane system,0.78,,,,50-61;127-146,,
KAI7841666.1,GO:0005739,C:mitochondrion,0.88,,1-52,,,,
KAI7841684.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841685.1,GO:0005886,C:plasma membrane,0.9,,,,1467-1496,,
KAI7841688.1,GO:0005886,C:plasma membrane,0.96,,,,920-940,,
KAI7841699.1,GO:0005739,C:mitochondrion,0.62,,1-41,,,,
KAI7841707.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841709.1,GO:0005886,C:plasma membrane,0.92,1-24,,,252-271;429-450;551-570,,
KAI7841713.1,GO:0005739,C:mitochondrion,0.55,,1-42,,,,
KAI7841714.1,GO:0005739,C:mitochondrion,0.55,,1-42,,,,
KAI7841715.1,GO:0005737,C:cytoplasm,0.84,,,,,,
KAI7841716.1,GO:0005886,C:plasma membrane,0.94,,,,37-61,,
KAI7841722.1,GO:0005615,C:extracellular space,1.0,1-22,,,,,
KAI7841727.1,GO:0009707,C:chloroplast outer membrane,0.77,,,1-66,74-87,,
KAI7841742.1,GO:0031966,C:mitochondrial membrane,0.76,,1-59,,296-307;849-863;865-876;1032-1058,,
KAI7841747.1,GO:0005737,C:cytoplasm,1.0,,,,,,
KAI7841753.1,GO:0005615,C:extracellular space,1.0,1-21,,,,,
KAI7841768.1,GO:0031090,C:organelle membrane,0.94,,,,27-38;304-315,,
KAI7841777.1,GO:0005886,C:plasma membrane,0.68,,,,3-16;39-61;68-87;92-116;125-147;157-176;246-270;569-593;599-627;629-640,,
KAI7841778.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841786.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841793.1,GO:0009707,C:chloroplast outer membrane,0.81,,,1-40,68-79,,
KAI7841796.1,GO:0012505,C:endomembrane system,0.91,,,,151-175,,
KAI7841806.1,GO:0031090,C:organelle membrane,0.69,,,,175-193;343-367,,
KAI7841809.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841810.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841812.1,GO:0031090,C:organelle membrane,1.0,,,,22-38;128-147;238-256;302-322,,
KAI7841816.1,GO:0005739,C:mitochondrion,0.79,,1-41,,,,
KAI7841822.1,GO:0005886,C:plasma membrane,0.86,,,,103-126;137-159;290-318;333-362;742-773;782-801;821-847;959-980;995-1017;1030-1052,,
KAI7841826.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841831.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841832.1,GO:0031966,C:mitochondrial membrane,0.79,,1-39,,244-259;367-395;417-442,,
KAI7841834.1,GO:0012505,C:endomembrane system,0.84,,,,428-444;1589-1604,,
KAI7841835.1,GO:0012505,C:endomembrane system,0.91,,,,85-97,,
KAI7841838.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841841.1,GO:0012505,C:endomembrane system,0.71,,,,148-166;324-341;583-601,,
KAI7841842.1,GO:0031090,C:organelle membrane,0.8,,,,278-296;541-561,,
KAI7841852.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841863.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7841864.1,GO:0031090,C:organelle membrane,0.89,,,,504-524,,
KAI7841865.1,GO:0005634,C:nucleus,1.0,,,,,,
