#queryIndex	queryItem	stringId	identity	bitscore	preferredName	annotation
1	KAI7844575.1	3076.A0A2P6TWK9	97.8	768.5	C2E21_3143	Phosphoglycerate kinase; Belongs to the phosphoglycerate kinase family.
2	KAI7845320.1	3076.A0A2P6TMX8	72.9	1248.0	C2E21_5921	alpha-1,2-Mannosidase; Belongs to the glycosyl hydrolase 47 family.
3	KAI7842877.1	3076.A0A2P6TH00	83.4	780.4	C2E21_7633	Cytochrome P450; Belongs to the cytochrome P450 family.
4	KAI7842249.1	3076.A0A2P6U3D6	79.4	349.7	C2E21_1286	3-oxoacyl-[acyl-carrier] reductase 4-like.
5	KAI7841816.1	3076.A0A2P6TYP0	91.7	718.4	C2E21_2432	Sulfate ABC transporter ATP-binding isoform A.
6	KAI7840344.1	3076.A0A2P6TBY6	88.4	635.6	C2E21_9283	MPBQ MSBQ methyltransferase.
7	KAI7838733.1	3076.A0A2P6TUA3	86.5	709.1	C2E21_3712	3-oxoacyl-[acyl-carrier] synthase chloroplastic isoform B; Belongs to the thiolase-like superfamily. Beta-ketoacyl-ACP synthases family.
8	KAI7845118.1	3076.A0A2P6U3E8	84.4	676.4	C2E21_0877	Agmatine deiminase.
9	KAI7836121.1	3076.A0A2P6TGV5	85.2	1176.0	C2E21_7716	Serine threonine-kinase.
10	KAI7836818.1	3076.A0A2P6THS2	94.1	1410.2	C2E21_7326	Vacuolar proton ATPase a3-like.
11	KAI7839314.1	3076.A0A2P6TR37	95.5	1163.7	PFP-BETA	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta; Catalytic subunit of pyrophosphate--fructose 6-phosphate 1- phosphotransferase. Catalyzes the phosphorylation of D-fructose 6- phosphate, the first committing step of glycolysis. Uses inorganic phosphate (PPi) as phosphoryl donor instead of ATP like common ATP- dependent phosphofructokinases (ATP-PFKs), which renders the reaction reversible, and can thus function both in glycolysis and gluconeogenesis.
12	KAI7840544.1	3076.A0A2P6TEP5	90.5	995.0	C2E21_8464	Glycosyltransferase LARGE2.
13	KAI7836553.1	3076.A0A2P6TH67	95.6	408.3	C2E21_7673	PMSR domain-containing protein.
14	KAI7846293.1	3076.A0A2P6TE26	94.6	1421.0	C2E21_8565	Cullin-1; Belongs to the cullin family.
15	KAI7845556.1	3076.A0A2P6TDG1	83.3	576.2	C2E21_8826	Putative ethanolamine kinase.
16	KAI7844740.1	3076.A0A2P6TNC1	74.5	625.2	C2E21_5380	Putative mannitol dehydrogenase.
17	KAI7840509.1	3076.A0A2P6TZ05	94.7	752.3	C2E21_2569	Aspartate aminotransferase.
18	KAI7843666.1	3076.A0A2P6TUY5	91.9	749.6	C2E21_3401	Dual specificity kinase.
19	KAI7842359.1	3076.A0A2P6TZG3	82.3	929.5	C2E21_2088	Apocarotenoid-15,15-oxygenase.
20	KAI7844404.1	3076.A0A2P6U3D2	93.5	867.8	C2E21_1196	Apyrase 2-like; Belongs to the GDA1/CD39 NTPase family.
21	KAI7835402.1	3076.A0A2P6TH19	94.4	1176.4	C2E21_7692	Glyceraldehyde-3-phosphate cytosolic; Belongs to the glyceraldehyde-3-phosphate dehydrogenase family.
22	KAI7839437.1	3076.A0A2P6TTV5	81.4	872.8	C2E21_4382	Major facilitator transporter.
23	KAI7843640.1	3076.A0A2P6TJF9	84.1	271.2	C2E21_7049	Glutathione peroxidase; Belongs to the glutathione peroxidase family.
24	KAI7838262.1	3076.A0A2P6TG45	80.6	955.7	C2E21_8026	Purple acid phosphatase.
25	KAI7841551.1	3076.A0A2P6TWC8	78.3	458.8	C2E21_2930	5-nucleotidase.
26	KAI7841330.1	3076.A0A2P6TXU8	93.3	402.1	C2E21_2388	Ankyrin repeat.
27	KAI7845845.1	3076.A0A2P6TPU9	89.7	496.9	C2E21_5089	Serine incorporator.
28	KAI7838973.1	3076.A0A2P6TFJ6	91.2	940.3	C2E21_8039	L-galactono-1,4-lactone mitochondrial-like.
29	KAI7836988.1	3076.A0A2P6TCJ8	91.9	537.7	C2E21_9039	Ribokinase; Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5-phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway.
30	KAI7843569.1	3076.A0A2P6TEW4	87.8	617.1	C2E21_8260	Putative prolyl 4-hydroxylase 6.
31	KAI7836238.1	3076.A0A2P6TVP1	96.9	791.6	C2E21_3022	Aspartate aminotransferase.
32	KAI7846013.1	3076.A0A2P6TNV6	84.8	458.4	C2E21_5344	Carbonic anhydrase.
33	KAI7838960.1	3076.A0A2P6U5H6	94.2	992.6	C2E21_0152	Phosphofructokinase family.
34	KAI7844741.1	3076.A0A2P6TNF7	97.7	275.0	C2E21_5381	Ubiquitin-conjugating enzyme E2 T; Belongs to the ubiquitin-conjugating enzyme family.
35	KAI7838875.1	3076.A0A2P6TDP3	60.9	311.2	C2E21_8846	mRNA-decapping enzyme.
36	KAI7845087.1	3076.A0A2P6TKS7	85.9	948.7	C2E21_6447	Aldehyde dehydrogenase; Belongs to the aldehyde dehydrogenase family.
37	KAI7837566.1	3076.A0A2P6U382	89.8	345.1	C2E21_0910	Glutathione peroxidase; Belongs to the glutathione peroxidase family.
38	KAI7838852.1	3076.A0A2P6TGV2	91.6	1018.8	C2E21_7702	Glucose-6-phosphate 1-dehydrogenase; Catalyzes the rate-limiting step of the oxidative pentose- phosphate pathway, which represents a route for the dissimilation of carbohydrates besides glycolysis.
39	KAI7840326.1	3076.A0A2P6TBW4	95.1	421.0	C2E21_9267	Superoxide dismutase; Destroys radicals which are normally produced within the cells and which are toxic to biological systems. Belongs to the iron/manganese superoxide dismutase family.
40	KAI7837736.1	3076.A0A2P6TWX2	89.7	631.3	C2E21_2852	Sterol-4-alpha-carboxylate 3-decarboxylating; Belongs to the 3-beta-HSD family.
41	KAI7836709.1	3076.A0A2P6TVN9	87.9	941.0	C2E21_3049	Amidase signature enzyme.
42	KAI7841501.1	3076.A0A2P6TB29	78.0	1490.7	C2E21_9555	Taurine catabolism dioxygenase.
43	KAI7843170.1	3076.A0A2P6TH58	91.7	881.7	C2E21_7582	Glutamate dehydrogenase; Belongs to the Glu/Leu/Phe/Val dehydrogenases family.
44	KAI7835503.1	3076.A0A2P6TWH1	95.3	552.0	C2E21_3278	Glutamine amidotransferase.
45	KAI7839845.1	3076.A0A2P6U0I9	83.6	991.5	C2E21_2019	Fatty acid amide hydrolase.
46	KAI7835882.1	3076.A0A2P6U4H1	90.6	419.9	C2E21_0684	Ubiquitin carboxyl-terminal hydrolase 22 isoform B; Belongs to the peptidase C19 family.
47	KAI7835791.1	3076.A0A2P6TQR0	92.3	569.3	C2E21_4556	Pyruvate kinase; Belongs to the pyruvate kinase family.
48	KAI7846414.1	3076.A0A2P6TKU6	93.5	780.0	C2E21_6133	DNA replication factor C complex subunit 5.
49	KAI7838260.1	3076.A0A2P6TFV5	87.0	1088.9	C2E21_8024	Acyl-coenzyme A oxidase; Belongs to the acyl-CoA oxidase family.
50	KAI7837126.1	3076.A0A2P6TZ81	92.9	753.1	C2E21_2351	Betaine aldehyde dehydrogenase isoform A; Belongs to the aldehyde dehydrogenase family.
51	KAI7844522.1	3076.A0A2P6TX54	86.5	1311.6	C2E21_3095	Root UVB sensitive 4.
52	KAI7844416.1	3076.A0A2P6U2U0	96.1	954.9	C2E21_1204	Serine hydroxymethyltransferase; Interconversion of serine and glycine. Belongs to the SHMT family.
53	KAI7839287.1	3076.A0A2P6TRA9	90.0	567.8	C2E21_4775	Phosphatase chloroplastic.
54	KAI7842899.1	3076.A0A2P6TQW6	93.0	419.5	C2E21_4499	Flagellar associated; Belongs to the GST superfamily.
55	KAI7839157.1	3076.A0A2P6TN19	60.1	408.7	C2E21_6039	Lysine-specific demethylase JMJD5 isoform X1.
56	KAI7840385.1	3076.A0A2P6TLA4	87.9	904.4	C2E21_6184	HBS1 isoform X1 isoform B.
57	KAI7839836.1	3076.A0A2P6TVB6	68.7	8155.4	C2E21_3773	Type I fatty acid.
58	KAI7839004.1	3076.A0A2P6TWE9	81.9	611.7	C2E21_2892	Hydroxyneurosporene methyltransferase.
59	KAI7844816.1	3076.A0A2P6TK10	91.2	671.8	C2E21_6769	Fructose-1,6-bisphosphate aldolase.
60	KAI7843850.1	3076.A0A2P6TQ35	83.4	1658.3	C2E21_5257	Puromycin-sensitive aminopeptidase isoform X1 isoform B.
61	KAI7836464.1	3076.A0A2P6TNG4	76.9	1111.3	C2E21_5618	Putative beta-D-xylosidase 7; Belongs to the glycosyl hydrolase 3 family.
62	KAI7839938.1	3076.A0A2P6TC44	85.4	721.1	C2E21_9213	Photosystem I reaction center subunit XI.
63	KAI7845413.1	3076.A0A2P6TEP2	81.6	1567.7	C2E21_8474	ATP-binding cassette sub-family B member mitochondrial isoform A.
64	KAI7839336.1	3076.A0A2P6TV56	86.6	480.3	C2E21_3599	Haloacid dehalogenase-like hydrolase domain-containing isoform B.
65	KAI7841688.1	3076.A0A2P6TLY0	64.4	1407.9	C2E21_5849	Serine threonine-kinase CTR1.
66	KAI7843653.1	3076.A0A2P6TUK0	81.6	826.2	C2E21_3393	Sulfite mitochondrial.
