#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
C2E21_0012	GATB	3076.A0A2P6U3T2	3076.A0A2P6TBP4	0	0	0	0	0.125	0	0.549	0	0.588
C2E21_0012	C2E21_9343	3076.A0A2P6U3T2	3076.A0A2P6TBP9	0	0	0	0	0.042	0.049	0.452	0.074	0.475
C2E21_0012	C2E21_9112	3076.A0A2P6U3T2	3076.A0A2P6TCI8	0.071	0	0	0	0.047	0.054	0.610	0.074	0.642
C2E21_0012	C2E21_9050	3076.A0A2P6U3T2	3076.A0A2P6TCS1	0.095	0.025	0	0	0.478	0.485	0.884	0.235	0.974
C2E21_0012	C2E21_8994	3076.A0A2P6U3T2	3076.A0A2P6TCS7	0	0	0	0	0	0	0.884	0.114	0.892
C2E21_0012	C2E21_8932	3076.A0A2P6U3T2	3076.A0A2P6TD11	0.112	0	0	0.796	0	0.114	0.549	0.074	0.627
C2E21_0012	C2E21_8851	3076.A0A2P6U3T2	3076.A0A2P6TD88	0.069	0.050	0	0	0	0	0.425	0.074	0.466
C2E21_0012	C2E21_8757	3076.A0A2P6U3T2	3076.A0A2P6TDA9	0.086	0	0	0	0.332	0	0.230	0.115	0.528
C2E21_0012	C2E21_8850	3076.A0A2P6U3T2	3076.A0A2P6TDE1	0.069	0.483	0	0	0	0	0.582	0.074	0.788
C2E21_0012	C2E21_8768	3076.A0A2P6U3T2	3076.A0A2P6TDF9	0.069	0.465	0	0	0	0	0.425	0.074	0.699
C2E21_0012	C2E21_8852	3076.A0A2P6U3T2	3076.A0A2P6TDL4	0.069	0	0	0.791	0	0	0.582	0.074	0.608
C2E21_0012	C2E21_8528	3076.A0A2P6U3T2	3076.A0A2P6TEN8	0	0	0	0	0	0.049	0.452	0.074	0.475
C2E21_0012	C2E21_8091	3076.A0A2P6U3T2	3076.A0A2P6TFE5	0.062	0	0	0	0.140	0.053	0.410	0.059	0.498
C2E21_0012	C2E21_8024	3076.A0A2P6U3T2	3076.A0A2P6TFV5	0.062	0	0	0	0.140	0.053	0.884	0.059	0.901
C2E21_0012	C2E21_7667	3076.A0A2P6U3T2	3076.A0A2P6TGX9	0.071	0	0	0	0.047	0.054	0.610	0.074	0.642
C2E21_0012	C2E21_6737	3076.A0A2P6U3T2	3076.A0A2P6TKK3	0.082	0	0	0	0.080	0.213	0.230	0.115	0.464
C2E21_0012	C2E21_6447	3076.A0A2P6U3T2	3076.A0A2P6TKS7	0	0	0	0	0.043	0	0.552	0.072	0.567
C2E21_0012	C2E21_6178	3076.A0A2P6U3T2	3076.A0A2P6TLK6	0.095	0	0	0	0.364	0	0.241	0.133	0.570
C2E21_0012	C2E21_5786	3076.A0A2P6U3T2	3076.A0A2P6TM95	0.062	0	0	0	0.140	0.053	0.884	0.059	0.901
C2E21_0012	C2E21_5878	3076.A0A2P6U3T2	3076.A0A2P6TMI1	0.069	0	0	0	0	0	0.425	0.074	0.460
C2E21_0012	C2E21_5549	3076.A0A2P6U3T2	3076.A0A2P6TNY8	0.069	0	0	0	0.145	0.103	0.496	0.074	0.606
C2E21_0012	C2E21_5659	3076.A0A2P6U3T2	3076.A0A2P6TP92	0.107	0	0	0	0.145	0	0.282	0.179	0.489
C2E21_0012	C2E21_5295	3076.A0A2P6U3T2	3076.A0A2P6TPN3	0.112	0	0	0	0.313	0	0.549	0.187	0.746
C2E21_0012	C2E21_4876	3076.A0A2P6U3T2	3076.A0A2P6TQA9	0.095	0	0	0	0.364	0	0.241	0.133	0.570
